
01/17 23:50:54 [[1;32mNOTICE[0m] Downloading 1 item(s)
[#50d851 0B/0B CN:1 DL:0B]
[#50d851 85MiB/127GiB(0%) CN:4 DL:0B]
[#50d851 209MiB/127GiB(0%) CN:4 DL:647KiB ETA:57h12m5s]
[#50d851 209MiB/127GiB(0%) CN:4 DL:625KiB ETA:59h11m25s]
[#50d851 210MiB/127GiB(0%) CN:4 DL:591KiB ETA:62h36m51s]
[#50d851 210MiB/127GiB(0%) CN:4 DL:597KiB ETA:61h57m32s]
[#50d851 211MiB/127GiB(0%) CN:4 DL:550KiB ETA:67h11m38s]
[#50d851 211MiB/127GiB(0%) CN:4 DL:546KiB ETA:67h46m17s]
[#50d851 212MiB/127GiB(0%) CN:4 DL:539KiB ETA:68h34m24s]
[#50d851 213MiB/127GiB(0%) CN:4 DL:541KiB ETA:68h21m57s]
[#50d851 213MiB/127GiB(0%) CN:4 DL:546KiB ETA:67h46m21s]
[#50d851 213MiB/127GiB(0%) CN:4 DL:531KiB ETA:69h42m32s]
[#50d851 214MiB/127GiB(0%) CN:4 DL:533KiB ETA:69h22m22s]
[#50d851 214MiB/127GiB(0%) CN:4 DL:528KiB ETA:70h3m58s]
[#50d851 215MiB/127GiB(0%) CN:4 DL:515KiB ETA:71h52m27s]
[#50d851 215MiB/127GiB(0%) CN:4 DL:519KiB ETA:71h12m]
[#50d851 216MiB/127GiB(0%) CN:4 DL:528KiB ETA:70h4m51s]
[#50d851 217MiB/127GiB(0%) CN:4 DL:541KiB ETA:68h20m21s]
[#50d851 217MiB/127GiB(0%) CN:4 DL:536KiB ETA:68h56m9s]
[#50d851 218MiB/127GiB(0%) CN:4 DL:583KiB ETA:63h23m46s]
[#50d851 218MiB/127GiB(0%) CN:4 DL:563KiB ETA:65h43m48s]
[#50d851 219MiB/127GiB(0%) CN:4 DL:613KiB ETA:60h18m5s]
[#50d851 220MiB/127GiB(0%) CN:4 DL:641KiB ETA:57h44m49s]
[#50d851 221MiB/127GiB(0%) CN:4 DL:653KiB ETA:56h40m57s]
[#50d851 222MiB/127GiB(0%) CN:4 DL:692KiB ETA:53h26m35s]
[#50d851 222MiB/127GiB(0%) CN:4 DL:717KiB ETA:51h35m22s]
[#50d851 223MiB/127GiB(0%) CN:4 DL:738KiB ETA:50h7m23s]
[#50d851 224MiB/127GiB(0%) CN:4 DL:756KiB ETA:48h55m50s]
[#50d851 225MiB/127GiB(0%) CN:4 DL:762KiB ETA:48h31m11s]
[#50d851 225MiB/127GiB(0%) CN:4 DL:757KiB ETA:48h50m9s]
[#50d851 226MiB/127GiB(0%) CN:4 DL:771KiB ETA:47h57m17s]
[#50d851 226MiB/127GiB(0%) CN:4 DL:676KiB ETA:54h42m5s]
[#50d851 227MiB/127GiB(0%) CN:4 DL:684KiB ETA:54h3m11s]
[#50d851 227MiB/127GiB(0%) CN:4 DL:656KiB ETA:56h25m12s]
[#50d851 228MiB/127GiB(0%) CN:4 DL:604KiB ETA:61h11m2s]
 *** Download Progress Summary as of Sat Jan 17 23:53:56 2026 *** 
===============================================================================
[#50d851 228MiB/127GiB(0%) CN:4 DL:567KiB ETA:65h16m47s]
FILE: /scratch/iglesiay/databases/GTDB/gtdb_genomes_reps.tar.gz
-------------------------------------------------------------------------------

[#50d851 228MiB/127GiB(0%) CN:4 DL:567KiB ETA:65h16m47s]
[#50d851 228MiB/127GiB(0%) CN:4 DL:527KiB ETA:70h8m55s]
[#50d851 229MiB/127GiB(0%) CN:4 DL:495KiB ETA:74h40m25s]
[#50d851 230MiB/127GiB(0%) CN:4 DL:490KiB ETA:75h23m25s]
[#50d851 230MiB/127GiB(0%) CN:4 DL:494KiB ETA:74h49m30s]
[#50d851 231MiB/127GiB(0%) CN:4 DL:459KiB ETA:80h33m52s]
[#50d851 231MiB/127GiB(0%) CN:4 DL:518KiB ETA:71h23m19s]
[#50d851 232MiB/127GiB(0%) CN:4 DL:529KiB ETA:69h56m26s]
[#50d851 233MiB/127GiB(0%) CN:4 DL:555KiB ETA:66h36m21s]
[#50d851 233MiB/127GiB(0%) CN:4 DL:572KiB ETA:64h40m30s]
[#50d851 234MiB/127GiB(0%) CN:4 DL:587KiB ETA:62h59m8s]
[#50d851 235MiB/127GiB(0%) CN:4 DL:622KiB ETA:59h29m11s]
[#50d851 235MiB/127GiB(0%) CN:4 DL:617KiB ETA:59h58m33s]
[#50d851 236MiB/127GiB(0%) CN:4 DL:648KiB ETA:57h5m5s]
[#50d851 237MiB/127GiB(0%) CN:4 DL:660KiB ETA:56h]
[#50d851 237MiB/127GiB(0%) CN:4 DL:666KiB ETA:55h31m7s]
[#50d851 238MiB/127GiB(0%) CN:4 DL:653KiB ETA:56h36m19s]
[#50d851 238MiB/127GiB(0%) CN:4 DL:651KiB ETA:56h48m33s]
[#50d851 239MiB/127GiB(0%) CN:4 DL:648KiB ETA:57h4m26s]
[#50d851 240MiB/127GiB(0%) CN:4 DL:655KiB ETA:56h25m36s]
[#50d851 240MiB/127GiB(0%) CN:4 DL:654KiB ETA:56h35m11s]
[#50d851 241MiB/127GiB(0%) CN:4 DL:641KiB ETA:57h41m14s]
[#50d851 242MiB/127GiB(0%) CN:4 DL:644KiB ETA:57h24m29s]
[#50d851 242MiB/127GiB(0%) CN:4 DL:628KiB ETA:58h51m41s]
[#50d851 243MiB/127GiB(0%) CN:4 DL:636KiB ETA:58h8m58s]
[#50d851 244MiB/127GiB(0%) CN:4 DL:679KiB ETA:54h25m49s]
